comp_name,job_addr,job_link,job_posted,job_srch,job_title
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/339616?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Architectural Revit & BIM Design Technology Specialist - ]
Build Colorado,[CENTENNIAL],http://jobs.ourcareerpages.com/job/323306?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Structures Estimator - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/263572?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Equipment Operator - ]
Build Colorado,[Aurora],http://jobs.ourcareerpages.com/job/332722?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Estimating Coordinator - ]
Build Colorado,[Aurora],http://jobs.ourcareerpages.com/job/314911?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Senior Estimator - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/262699?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,"[Senior Estimator - Landscape, Irrigation, Reclamation, Earthwork/Civil - ]"
Build Colorado,[Centennial],http://jobs.ourcareerpages.com/job/151677?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Laborer *Apply now for future opportunities* - ]
Build Colorado,[Centennial],http://jobs.ourcareerpages.com/job/145831?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Laborer Concrete Finisher - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/328607?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Finisher/Taper/Texture Applicator - ]
Build Colorado,[Thornton],http://jobs.ourcareerpages.com/job/289279?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[General Foreman - Sheet metal / HVAC - ]
Build Colorado,[Thornton],http://jobs.ourcareerpages.com/job/289277?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[General Foreman - Plumber - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/262470?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Landscape Irrigation Foreman - ]
Build Colorado,[Denver],http://jobs.ourcareerpages.com/job/262591?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Landscape Irrigation Technician - ]
Build Colorado,[Greeley],http://jobs.ourcareerpages.com/job/325157?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,null,Construction,[Laborer - Greeley - ]
